No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,ALE
26.9,80.4,25.2,28.6,24.6,8.5,75.8
23,78.2,20.5,25.8,22.1,6.6,76.5
27.9,78.9,24.5,32.5,24.7,8.9,76.5
28.2,75.6,23.9,27.8,20.7,8.5,74.6
23.4,74.5,22.5,32.7,28.9,6.7,75.2
NA,NA,NA,NA,NA,NA,73.2
NA,NA,NA,NA,15.2,12.8,73.5
24.2,NA,29.1,NA,16.5,11.3,73.7
35.2,NA,NA,NA,22.1,8.1,74.9
32.8,NA,28.9,NA,22,9.7,72.1
28.2,79.7,27.6,39,28.5,13,74.9
18.9,78.3,20.8,26.7,21,4.8,76.8
NA,NA,NA,NA,NA,11.8,73.5
NA,NA,NA,NA,NA,NA,71.9
22.2,68.1,21.3,26.7,20.4,7.8,72
34.1,79.1,32.7,42.2,24.1,10.9,73.3
32.1,79.3,23.2,NA,29.4,5.6,73.9
27.1,79,25.3,29.7,23.8,7.9,75
34.9,79.3,30.5,35,33.8,11.5,72.2
NA,NA,NA,NA,NA,10.5,74.6
NA,NA,NA,NA,NA,7.6,71.7
NA,NA,28,NA,26.9,8.5,73.5
24.5,NA,22,NA,27.3,9.5,73
29.2,81.9,27,33.2,25.5,11.2,73.1
34.7,84.6,NA,NA,11.7,17.1,73.8
NA,NA,NA,NA,23.6,13.3,75.3
27.8,78.6,24.5,29.1,26.6,14.2,74.9
24.9,76.3,23.1,34.8,23.6,8.1,76.7
24.2,72,19,28.4,22.5,8.5,77.2
32.9,75.2,27.9,29.2,22.2,9.2,76.5
29.6,80.9,30.5,32.4,27,11.6,73.7
22.2,76.4,16.8,27.3,20.1,6.4,78
25,76.2,23,34.7,28.3,10.4,76.8
24.6,75.6,19.3,24.6,27.3,4.8,76.4
21.6,72.7,18,28.5,20,6.4,79.6
19.4,78.9,16.3,24.8,23.3,6.3,78
22.9,86.4,32.6,NA,14.4,12.9,78.3
25.8,70.3,18.8,24.8,18.4,7.1,78.3
37.6,80.9,31.8,NA,29.9,7.2,74.2
33.2,NA,30.8,NA,NA,13.5,73.8
NA,NA,21.2,NA,NA,4.4,70.2
27.2,75.3,21.9,31,29.1,9.2,77
21.2,86,23,23,NA,6.7,76.8
28.9,74.8,19.5,32.2,25.2,8.8,75.7
35.4,80.2,32.7,NA,20,13.4,74.8
NA,NA,17,NA,NA,4.8,74.5
22.9,73.2,23.1,37.6,19.9,9.1,79.5
28.7,71.9,17.6,38.9,21.8,11.6,76.7
21.4,75.6,20.6,21.8,28.9,7.9,75.9
23.3,73.7,17.5,23.1,22,7.1,76.4
30.3,82.8,31.2,26.5,30,6,74.1
21.3,73.4,19.8,29,17.6,8.4,81
30.4,NA,24.8,NA,26.3,10.4,73.8
NA,78.5,23.9,NA,26,11.3,77.6
NA,NA,25.3,NA,NA,7.4,74.2
24.2,77.6,24.4,29.4,21,6.5,74.5
27.9,72.7,27,33.3,26.5,8.4,75.2
21.8,65.6,14.1,34.3,19.5,9.7,78.4
NA,NA,11.9,NA,NA,2.7,74.5
NA,NA,29.4,NA,21.4,16.6,72.9
37.1,81.3,34.4,NA,33.9,10.3,70.2
NA,NA,NA,NA,17.1,13.5,74.6
25.3,NA,NA,NA,NA,8.9,74.8
NA,96.4,NA,NA,NA,6.9,76
NA,NA,NA,NA,23.5,10.1,74.5
NA,NA,NA,NA,NA,NA,74.6
NA,NA,NA,NA,18.2,NA,77.6
NA,NA,NA,NA,23.5,7.6,76
29.9,71.5,21.5,26.3,24.3,10.3,77.1
28.2,72.4,20.7,42.7,21,9.6,78
25.5,77.1,21.9,22.8,24.1,8,76
31.1,NA,NA,NA,NA,13.1,74.8
23.7,76.6,20.5,22.4,24.7,6.9,75.3
31.5,NA,NA,NA,NA,15.8,74
19.7,71.1,19,28,22.3,7.4,79.3
34.2,NA,24.3,NA,23.5,6.8,74.8
16.4,NA,18.4,NA,16.3,6.3,73.8
NA,NA,NA,NA,NA,NA,74.2
23,72.2,21.4,34.4,24.4,7.8,77.7
27.4,75.8,18.7,30.9,26.6,9.8,78.9
20.6,77.4,16.2,19.6,20.1,4.6,76.8
28.9,80.5,28.8,NA,23.7,6.8,74.8
NA,NA,NA,NA,NA,7.3,76.8
NA,83.3,NA,NA,NA,17.2,74.6
32.2,84.3,25.9,NA,21.8,8.1,74.2
NA,NA,NA,NA,23.9,12.2,74.9
26.9,69.7,18.4,31.1,21.5,8.2,78.2
26.1,76.1,23.7,35,25.2,9.4,76.7
24.2,74.5,13.9,26.4,22.1,6.4,79.6
34.6,79,19,24.2,17.6,8.1,77.6
21.2,73.1,20,26.3,26.4,7.2,77.5
24.5,73.7,28.2,NA,24.2,9.8,75.5
19.3,73.3,20.7,28.5,22,7.6,76.6
39.6,79.9,28.2,NA,NA,8.5,74.6
25.9,78.3,19.5,23.6,19.8,7.2,76.9
29,77.6,22.2,19.7,23,7.3,76.8
23.4,69.9,18.3,27.8,20.1,7.8,79.1
23.7,76.4,20.3,31.5,27.8,8.8,77.9
NA,NA,NA,NA,NA,10.5,75.3
NA,NA,NA,NA,NA,NA,73.1
32.1,80.4,26.8,21.3,25.6,11.5,75.8
35.3,82.6,28.5,NA,28.1,7.8,73.8
NA,82.6,NA,NA,23.5,12.9,72.2
NA,89.1,NA,NA,NA,NA,73.5
28.6,76.3,29.7,NA,31.1,8,75.9
16.4,64.4,19.3,NA,14.5,6.2,78.9
30.1,79.2,30.3,34.4,22.6,11.1,74.6
16.3,73.3,16.2,20.3,17.6,3.7,77.5
29.5,85.4,20.2,NA,24.2,7.1,75.3
NA,NA,NA,NA,NA,9.3,75.3
21,74,21.3,22.5,16.8,5,74.1
33.4,83.6,16.1,NA,31.2,8.7,75.9
NA,NA,NA,NA,NA,NA,73.4
24.2,73.4,27.8,23.4,23.5,11,75.4
25.3,83.4,24,NA,28.9,4.7,74.3
34,82.1,28.3,NA,27.5,9.6,72.9
NA,NA,NA,NA,14.6,8.8,75.5
22.7,76.3,19.2,20.2,19.8,5.5,78.3
31.2,74.5,20.8,26.6,25,6.5,76.4
28.2,75.7,24.8,27.4,20.9,7.9,76
30.6,78.3,25.1,29.9,32.7,8.9,75.3
NA,NA,NA,NA,NA,NA,73.4
30.7,NA,23.1,NA,NA,17.1,73.3
24.5,88.7,15.7,NA,18.3,7,73.8
24.1,NA,21.8,NA,29.2,10.6,75.3
NA,NA,NA,NA,NA,NA,74.3
19.5,79.1,25.8,20.4,21.6,7.5,76
21.7,81.2,24,33.3,25,9.7,75.7
NA,NA,NA,NA,NA,9.9,73
28.7,80.1,22.1,27.3,21.7,7.3,74
NA,NA,NA,NA,NA,NA,74.6
26,79.5,30.8,27.7,29.3,10.2,74.1
NA,86.4,NA,NA,NA,11.7,72.9
NA,87.5,NA,NA,12.8,8.8,73.4
NA,NA,NA,NA,13.1,11,72.8
NA,NA,NA,NA,16.5,10.2,74
NA,NA,NA,NA,NA,7.8,75.8
NA,NA,NA,NA,NA,NA,74.7
NA,NA,NA,NA,NA,NA,73.1
31.3,82.5,28.8,32.4,22.3,8.4,74.5
18.3,82.3,19.1,17.9,22.2,6.4,74.8
24.8,77.3,26.3,19.7,36.9,4.2,74.1
26.4,NA,31.5,NA,23.3,10.9,73
NA,NA,NA,NA,NA,4.7,73.8
NA,NA,NA,NA,NA,7.4,73.5
27.7,76.6,24,33,24.1,9.6,74.4
22.4,NA,21.4,NA,27.6,7.4,76.2
NA,NA,24.2,NA,19,12.9,72.3
28.8,NA,NA,NA,23.2,9.8,73.5
NA,NA,NA,NA,NA,NA,73.2
32.9,83.6,22,NA,27.4,7.9,75
NA,NA,NA,NA,NA,NA,73.8
NA,NA,NA,NA,NA,9.3,73.4
32,90.9,26.1,NA,NA,7.1,73.1
NA,83.2,26.9,NA,NA,9.2,72.9
23.3,NA,25.5,31.3,23,10.3,75.9
NA,NA,NA,NA,NA,6.6,75.1
36.1,82.2,27.2,NA,17.1,12.4,72.9
NA,NA,NA,NA,NA,3.7,73.3
NA,85.2,NA,NA,11.7,11,74
NA,NA,NA,NA,19.9,3.7,77.1
41.8,NA,30.3,NA,32.3,9.6,74.4
25.3,78.2,25.1,32.2,22.1,6.7,73.8
28.6,77.5,29.5,NA,30.9,6.1,74.9
24.8,75.4,15.6,18,16.5,5.3,77.1
29,76.3,23.9,28.8,25,10.6,72.7
NA,NA,NA,NA,21.2,14,75.5
28.7,78.3,23.1,22.1,27.6,6.6,75.9
NA,90.2,NA,NA,20.2,12.6,72.8
19.8,NA,22.4,NA,24.3,8.2,76.4
24.8,NA,NA,NA,32.1,5.4,73.3
NA,NA,NA,NA,NA,NA,74.7
30.3,NA,17.9,NA,25.8,10.6,73.3
23,NA,27.7,NA,17.8,7.3,74.5
NA,NA,NA,NA,NA,9.3,74.6
NA,NA,NA,NA,NA,NA,72.3
25.4,80.9,29.7,NA,22.8,10.2,74.5
NA,NA,19.8,NA,NA,7.7,76.9
NA,NA,NA,NA,NA,NA,72.3
30.6,77.8,27.7,28.7,27.3,9.3,72.7
21.5,73,22.9,NA,17.1,11.6,76.4
NA,NA,NA,NA,NA,NA,73.8
NA,NA,NA,NA,13.7,12.7,72.8
NA,NA,NA,NA,NA,8.7,73.6
NA,NA,NA,NA,26.7,4.5,73.5
33.9,NA,26.9,NA,24.8,15.1,74.3
NA,NA,NA,NA,NA,NA,72.3
33.9,NA,26.5,NA,23.3,4.5,73.3
29.2,81,25.6,NA,25.8,9.3,74.1
NA,NA,NA,NA,NA,NA,72.9
NA,NA,NA,NA,NA,NA,73.4
32.6,NA,27.2,NA,23.6,10.9,73.5
NA,NA,NA,NA,NA,NA,72.9
52.4,NA,26.1,NA,22.3,12,72.8
NA,NA,NA,NA,NA,NA,73.8
37.3,78.4,27.9,NA,22.3,10.1,73
33.3,79.8,30.3,28.8,17.5,9.7,74.7
28,83.1,24.8,NA,29.6,13.4,72.7
NA,NA,NA,NA,20.7,10.4,73
NA,NA,NA,NA,NA,4.7,76.9
27.8,NA,NA,NA,18.9,11.2,74
27.1,78.8,23.2,NA,23.2,9.9,72.5
NA,NA,NA,NA,NA,NA,73.8
NA,NA,NA,NA,NA,NA,73.9
19.4,NA,26.5,NA,15.5,8.9,76.9
NA,92.1,NA,NA,NA,NA,73.5
30.6,83.1,26,28.1,30.5,8.2,74.1
26.4,76.8,27,26.1,25.9,6,75.9
36.2,71.1,33.7,34.9,25.4,13.1,73.8
24.8,79.3,21.5,15.7,29.9,4.7,75.8
NA,NA,NA,NA,NA,NA,73.4
NA,NA,NA,NA,NA,12.8,73.4
31.9,87.5,28.8,NA,27.5,7.5,74.1
NA,NA,NA,NA,NA,NA,73.8
NA,81.4,27.8,NA,19.7,8.9,72.9
27.5,NA,15.6,NA,23.3,6.7,76.2
32.8,77.3,24.6,28.3,32,8,75.3
NA,89.1,NA,NA,NA,11.2,72.5
NA,NA,NA,NA,NA,9.2,72.3
NA,NA,NA,NA,NA,5.1,73.9
24.9,80.2,26.4,27.8,22.3,7.9,75.7
34.2,84.3,32.9,NA,26.1,16.8,73.8
40.8,77.3,38.6,NA,21.4,11.1,72.8
NA,NA,NA,NA,NA,3.9,73.3
NA,NA,NA,NA,NA,NA,72.3
17.5,77.3,29.4,21.3,27.2,5.9,76.7
NA,NA,NA,NA,NA,8.1,73.1
30.2,76.9,30.1,NA,21.7,13.6,75.3
NA,NA,NA,NA,NA,10.5,72.2
24.7,80.5,29.8,NA,19.2,6.4,74.3
32.8,81.9,27.6,NA,28.9,11.2,76.8
NA,NA,NA,NA,NA,6.7,73.3
26.2,75.6,21.3,26.1,20.9,9.2,75.1
NA,NA,NA,NA,NA,1.9,73.8
29.5,NA,24.2,NA,NA,10.3,74.3
19,76.6,19.5,21.1,21,6.9,76.7
23.8,73.5,25,24.1,16.7,6.6,76
NA,NA,NA,NA,NA,6.9,72.9
NA,NA,NA,NA,12.3,8.2,73
NA,NA,NA,NA,NA,NA,72.3
26.8,82.1,26,27,23.6,5.8,74.8
NA,NA,NA,NA,NA,15.5,73.1
17.2,73.9,19.5,23.6,16.5,5.8,77.4
41.1,84.1,35.2,35.6,27.1,9.6,74.1
31.1,NA,29.2,28,32.3,9.1,73.4
20.7,77.3,20.6,21.1,19.7,5.7,77.8
NA,NA,30.8,NA,21.5,10.7,73
28,74.3,24.7,23.9,18.9,8,75.8
NA,NA,NA,NA,NA,5.7,72.9
NA,NA,NA,NA,NA,NA,75.1
NA,NA,NA,NA,NA,15,74.9
NA,83.6,NA,NA,18.3,10.3,72.5
NA,NA,NA,NA,NA,8.8,74.1
NA,NA,20.9,NA,NA,8.2,76.4
26.4,74.2,24.5,NA,19.7,6.1,73.6
22.7,72.8,21.7,22.4,16.4,5.3,76.9
33.4,82.8,30.1,31.6,23.9,13,72.8
NA,NA,18.8,NA,NA,3.1,73.2
34.4,81.4,26.6,32.3,24.1,9.7,74.8
23.8,85.6,24.8,17.9,20.2,7.3,75.7
NA,NA,NA,NA,NA,10.3,75.1
19.6,76.9,28.2,NA,17.8,10.9,73.9
28.8,NA,30.2,NA,27.8,12.1,74.7
27.2,76.2,23.6,30.5,24.6,7.2,76.6
NA,NA,NA,NA,NA,NA,73.7
29.4,76.2,22.2,35,27.6,10,75.3
30.4,79.5,25,NA,29.3,12.1,75.5
31.5,85.9,36.6,NA,20.4,11.5,72.1
37,80.7,24.3,35.3,19.1,7.8,75.1
27.7,85,24.8,23,22.6,5.5,75.2
20.2,75.9,19.6,23.9,21.1,6.8,77.3
34.3,87.1,33.7,NA,26.1,11.4,73.2
19,77.1,17.8,23.9,18,6.9,80.5
34.1,81.4,27.1,38.2,31.5,10.2,73.5
NA,NA,NA,NA,NA,NA,80.4
NA,NA,32.7,NA,21.2,12.7,73.9
17.3,77,17.4,26.2,20.7,7,79.7
28.9,85.5,NA,NA,NA,7.2,73.6
19.9,75,17.7,21.4,20.8,5.9,80.4
NA,NA,25.6,NA,17.7,6.6,74.5
22.9,78.4,25.8,23.1,16.6,8.2,77.2
11.2,69.3,9.7,20.3,13.9,1.9,80.8
20.9,NA,17.1,NA,19.1,5.5,80.8
20.2,76.6,19.1,28.8,22.2,5.6,77.3
18.4,81.1,21.1,21.4,15.5,7.1,77.6
15.5,77,18.5,21.6,18.1,5.1,79.2
NA,NA,34.5,NA,NA,9.4,74.7
21.2,76.8,20,18.3,22.4,4.9,77.3
26.7,NA,24.2,NA,25.6,10.3,76.8
NA,NA,NA,NA,NA,NA,80.8
22.7,80.3,23.9,21.6,20,7.5,77.6
24.5,78.5,22.5,22,17.8,9.7,77
24.6,76,21.5,21.1,17.5,6.6,76.6
NA,NA,NA,NA,NA,NA,76.8
21.3,77.4,22.5,35.3,24.2,8.5,79.1
17.6,73.8,24.6,NA,21.2,5.9,80.8
21.8,81.1,26.7,29.1,23.9,4.5,77.3
22.8,79.6,24.2,NA,16.6,5.1,77.3
NA,NA,NA,NA,NA,7.1,72.7
19.8,82.8,17.7,18.3,9.2,5.3,77.8
24.1,81.9,19.8,29.6,16.7,7.7,77.6
23.4,77.4,26,30,25.2,8.6,77.3
29.7,82.1,26,31.9,22.5,8.6,77.9
26.3,75.8,20.1,28.9,18.2,4.9,76.8
24,80.8,25,24.1,10.8,7.5,77.6
27.3,78.4,22.3,23.3,25.1,7.7,77.9
18.1,79,20.9,22.8,20.9,6.2,78.4
13.5,77.6,16.5,19.6,14.3,4,79.1
20.8,73.5,22.6,23.8,25.2,6.5,76.8
17.5,80,23.7,22.1,18,7,77
NA,NA,NA,NA,NA,5.2,72.7
30,73.3,27,NA,NA,6.6,76.8
26.5,NA,19.5,NA,21.4,6.9,77.9
16.1,78.8,19.3,13.3,3.6,3.2,79.5
26.6,79.7,25.9,25.1,16.9,5.3,76.6
21.3,78.2,24.6,28.7,22.9,7.2,77.9
29.2,87.3,23.8,NA,16.6,7.1,77.8
34.1,84.9,29.4,33.2,26.6,3.9,77.3
23.7,78.3,26.7,34.5,23,8.2,77.3
26.3,74.7,28.7,25.6,17.3,5.7,77.8
24.3,81.2,26,37.4,24.3,7.8,74.9
26,79.3,24.7,27.8,18.2,7.1,77.8
NA,NA,NA,NA,NA,8,74.5
10.2,74.4,17.8,16.5,12.1,5.3,77.6
24.2,77.1,21.8,27.5,22.9,5.7,77.6
22.3,79.1,16.9,NA,20.5,4.6,77.3
27.7,75.7,29,28.5,22,8.4,77.3
24.8,81.6,28.3,30.7,27.8,6,74.9
32.9,77.7,29.5,34,25,8.8,75.7
NA,NA,NA,NA,NA,NA,76
24.1,NA,18.3,NA,23.4,8.3,75.8
28.2,NA,28.2,NA,30.1,6.1,77.9
NA,NA,NA,NA,NA,9.5,76.8
18.6,NA,26.6,NA,19.9,5.1,78.8
21.1,73,21.3,19.1,22.3,4.9,78
19.4,79.2,20.9,19,19.4,6.1,78.6
25.7,75.3,23.7,24.2,29.2,8.4,76.5
20.3,NA,29.7,NA,26.4,7.6,76.6
24.3,77.8,28,23.6,24.7,7.1,75.7
24.1,81,22,20,NA,8.4,78
26.7,NA,28.3,NA,28.4,8.9,75.7
NA,NA,14.9,NA,NA,2.2,78
NA,NA,NA,NA,NA,9.4,76.7
NA,NA,13,NA,NA,6.1,74.9
NA,NA,NA,NA,NA,NA,76.7
NA,NA,NA,NA,NA,10.7,77.5
15.3,NA,19,NA,19,4.6,78.5
NA,NA,NA,NA,20,8.3,76.5
28.6,86.5,26.7,NA,30.1,5.8,76.6
NA,NA,NA,NA,NA,8.5,77.1
NA,NA,NA,NA,NA,NA,76.5
20,80.6,27.2,24.1,23.4,7.9,78
28.7,84.8,24.1,23.5,24.1,7.4,77.2
NA,NA,NA,NA,NA,12.6,76.6
NA,NA,11.5,NA,NA,6.8,77.7
NA,NA,NA,NA,18.6,9.8,77.3
NA,NA,NA,NA,NA,NA,74.9
NA,NA,NA,NA,NA,NA,75.5
NA,NA,NA,NA,NA,NA,78
24.9,NA,18.2,NA,17.1,4.1,76.1
NA,NA,NA,NA,NA,8.8,76.8
NA,NA,14.3,NA,NA,3.1,78.2
24.3,76.1,26.1,27.9,25.5,8.5,77.3
30.9,81,29.7,31.6,22.7,9.2,74.6
NA,NA,NA,NA,NA,8,74.5
25.5,73.4,24,27.9,19.8,11,76.8
NA,NA,NA,NA,NA,NA,78.8
NA,NA,NA,NA,NA,NA,77.3
NA,NA,NA,NA,NA,4.3,78
NA,NA,NA,NA,NA,NA,78
18.3,82.5,22,24.9,12.7,8.7,78.1
23.4,82.3,21.3,23.6,28.2,6.1,78
NA,NA,15.7,NA,NA,6.3,76.7
NA,NA,NA,NA,NA,10,74.6
31.2,84.3,31.8,29.2,26,9,75.6
NA,NA,NA,NA,NA,NA,76
NA,NA,NA,NA,NA,6.7,77.6
NA,NA,NA,NA,NA,10.4,77.3
NA,NA,NA,NA,13.5,7.1,77
NA,NA,NA,NA,NA,7.3,75.8
22.6,84.6,23.4,NA,27.2,8.3,78
23.9,83.1,23.6,22,23.2,5.2,77.8
25,NA,24.5,25.5,20.9,6.9,75.5
22.4,70.9,19,21.1,20.3,5.8,78.4
29,77.5,26.3,26.1,21.6,7.8,77.7
34,82.3,29.4,29.2,37,6.1,74.5
25.3,76.3,25.8,27.5,26.2,9.3,76.8
12.8,NA,27.8,20.1,NA,7.9,78.8
NA,86.1,25.6,NA,29.3,10.7,76.6
NA,NA,NA,NA,NA,10.8,76.6
NA,NA,NA,NA,NA,NA,77
NA,NA,NA,NA,NA,11.5,77.3
17.2,NA,30.1,NA,18,9.5,76.4
27.8,76.8,22,23,21.4,7.1,75.6
NA,NA,NA,NA,NA,13.7,76.8
NA,NA,NA,NA,NA,NA,77.4
20.4,79.4,23.5,19.3,21.6,5,78.5
NA,NA,NA,NA,NA,4.2,77.7
NA,NA,NA,NA,NA,1,74.6
29,79.1,27.1,31.9,23.4,9.7,73.6
NA,NA,NA,NA,17.2,9.8,77.1
21.7,71.5,17.4,19.5,18.9,5.2,79.6
NA,NA,NA,NA,NA,7.8,76.6
NA,NA,NA,NA,NA,NA,76
18.3,NA,19.9,NA,18.1,10.5,77.7
NA,NA,14.8,NA,NA,8.4,77.1
NA,NA,NA,NA,NA,6.2,76.9
40.7,NA,22.2,NA,29.7,8.7,74.3
32.8,NA,19.4,NA,30.6,9.2,77.2
NA,NA,NA,NA,NA,NA,75.8
NA,NA,NA,NA,NA,13.7,77.1
NA,NA,NA,NA,NA,3.2,73.9
NA,NA,NA,NA,NA,NA,76.5
23.3,NA,27.5,NA,26.1,6,77.4
NA,NA,NA,NA,NA,NA,74.5
NA,NA,NA,NA,20,10,78.3
NA,NA,NA,NA,NA,NA,74.9
NA,NA,NA,NA,NA,NA,77.6
23.9,81.2,20.7,15.7,20.8,6.2,77.7
37.6,NA,25,NA,27.1,8.1,76.9
14.4,NA,15.3,14.6,25.5,3.8,76.4
NA,NA,NA,NA,NA,NA,77.4
NA,NA,NA,NA,16.4,5.5,78.1
25.8,77.1,23.8,34.7,21.1,6.7,76.4
30.9,NA,32.7,NA,30.4,12.1,77.2
NA,NA,NA,NA,NA,11.7,76.5
NA,NA,NA,NA,NA,6.8,78.2
NA,NA,NA,NA,NA,NA,75.5
26.9,81.5,22.6,20.4,17.9,5.6,77.8
22.5,75.2,28.1,25.4,22.1,7.5,74.5
21.6,NA,18.6,NA,15.7,4.7,79
22.7,76.6,22.4,26.2,24.8,9.7,77.5
20.9,74.9,20.8,22.1,19.6,5.3,78.6
27.9,72.2,24.1,29.1,29,8.2,77.5
NA,NA,NA,NA,NA,NA,78.8
31.9,85.2,19.9,NA,28.5,9.2,74.3
NA,86.6,NA,NA,NA,13.1,73.2
NA,NA,NA,NA,NA,4,76.3
23.9,79,27.6,27.7,30.6,9,76.6
18.2,80.8,18.7,23.5,26.1,7.3,78.1
29.3,76.4,23.3,22.9,32.5,7.8,76.3
27.1,78.7,26.5,26.3,28.6,6.5,76.7
NA,NA,NA,NA,NA,10.9,77
31.9,79.9,30,26.5,23.7,8.6,76.8
NA,NA,NA,NA,NA,NA,75.7
39.1,87.1,NA,NA,35.1,12.3,74.9
29.5,NA,28.1,NA,31.5,4.8,75.6
23.7,74.4,23.1,29.9,20.2,6.1,77.3
34.1,NA,27,NA,29,12.3,75.9
24.2,NA,22.5,NA,29.8,6.7,76.9
NA,NA,NA,NA,18.4,12.9,75.2
24.3,73.9,24,22.2,27.5,5.6,77.2
26.5,78.3,20.6,19,22.5,10.9,76.7
NA,NA,NA,NA,NA,9.4,77.2
27.9,74.9,21.5,NA,31,3.4,78
32.5,78.9,31.9,NA,22,11.4,76
26.7,74.8,20.3,NA,26.7,10.2,77.6
NA,NA,29.3,NA,18.3,4.3,77.1
18,NA,25.2,NA,18.6,11.9,76.7
26.2,75.5,22.8,26.7,25.3,8.1,76.9
35.8,NA,27.2,NA,29.8,8.7,73.6
30.5,78.4,31.1,NA,26.7,6.5,76.3
24.4,85.1,24.9,NA,26.7,5,76.9
30.1,81.7,26.9,NA,33.2,11.3,73.5
21.2,83.4,25,13.8,26.1,5.9,76.6
24,79,22.5,NA,35,4.9,75.6
NA,NA,NA,NA,NA,8.2,75.7
21.1,77.9,20.7,19.6,24,5,77.1
24.2,NA,NA,NA,15.7,8.4,75.7
25.7,NA,32.6,NA,26.2,6.1,77.3
NA,NA,NA,NA,NA,NA,77.1
24,80.8,27.3,27.5,28.6,9,75.9
30.9,NA,28.1,NA,26.8,4.5,75.9
27.5,84.6,25.3,36.5,28.5,10.8,75.1
24.9,NA,22.5,27.3,29.7,6.9,76.9
NA,NA,NA,NA,NA,13.7,75.1
24.8,74.4,27.1,30.6,18.1,7,77.4
26.5,88.9,23.9,NA,35.6,7.1,75
29.3,79.1,26.6,25.9,27.5,9,75.7
24.5,78.6,20.8,NA,21.4,7.4,77.7
29.4,77.4,21.1,19.7,28.5,4.1,76
26.7,NA,25.7,NA,27.5,7.5,77.3
28.3,80,28,NA,25,8.5,77.6
26.3,79.9,22.2,28.6,29.5,8.7,75.1
31.7,82.8,37.1,NA,15.4,6.2,78.8
25.9,74.9,21.7,24.5,27.1,7.8,75.3
33.1,80.6,33.3,NA,29.7,9.8,75.6
33.4,NA,24.9,20.4,23.6,8.1,75.8
NA,NA,NA,NA,NA,NA,74.9
33,84.8,23.1,NA,26.9,3.5,76.3
28.5,78.5,18.7,23.9,35.7,4.7,76.4
32.1,86.5,34,NA,27.7,9.4,76.7
24.3,74.9,28.1,20.2,22.7,6.1,76.5
21.5,76.1,28.3,25.3,25,8.8,76.2
25,82.3,19.9,23.7,16.8,6.2,77.3
26.2,77,25.2,27.7,23.2,5.5,77.1
21.4,79.6,23.8,25.4,23.6,5.9,77.3
30.4,79.5,26,NA,25,8.1,75.5
23.7,NA,26.9,NA,24.8,10,75.1
24.1,76.8,21.9,26.4,25.7,6.3,76.2
35.5,82,37.1,NA,24.6,12.1,75.1
28.5,86.1,26,NA,25.4,9.5,77.1
35.9,89.1,23.7,NA,31.1,9.2,77.2
31.5,NA,25.5,27.8,22.5,8.1,77.2
27.1,80.4,33.2,34.5,27.8,8.7,75.5
29.3,81.3,28.7,NA,26.2,11.2,76.4
16.4,76.3,20,18.6,16.9,4.8,79.1
24.3,82.7,20.7,18.8,20.5,6.5,77.3
22.9,80.8,21.1,20.2,23,5.2,76.4
NA,NA,NA,NA,NA,9.6,71.7
28,82.8,28.9,18.6,26.7,7.7,76.8
22.1,74.1,23.4,26.1,23.8,5.2,78.1
31,81.8,30.1,NA,26.8,8.6,75.8
23.6,79.1,25.8,28.6,24.3,9.2,75.8
26.2,79.6,24,NA,22.3,8.8,77.2
28.9,83,25.1,27.1,31.4,7.4,76.2
26.4,NA,27.9,20.5,26.5,9,77.6
35.7,78.8,27.3,NA,25.2,12.7,76
23,80.5,26.9,NA,35.7,5.7,75.7
35.4,88.1,23.8,NA,28.9,10.3,74.7
NA,NA,NA,NA,NA,6,77
NA,NA,NA,NA,15.7,13.6,71.9
25.4,81.6,22.5,23.7,27,6.3,77.6
30.4,78.3,25.1,NA,30,7.8,75.2
24.4,73.3,24,28.7,27,8.2,77.1
22.7,78.5,26.8,NA,32.6,5.5,78.5
29.2,79,28.7,27.5,27.7,8.1,74.4
