No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,ALE
20.1,81.4,23.4,30.1,25.6,9,76.8
16.4,69.7,20.3,19.6,14.8,5.4,78.5
27.9,78.4,29.2,30.3,26.3,9.8,73.4
25.8,NA,23.1,NA,27,6.1,75.8
23.3,80.9,27.1,32.6,19.9,9.2,77.5
18.2,NA,NA,NA,NA,10.3,80.2
NA,NA,NA,NA,NA,10.3,77.1
24,76.7,24.6,36,24.5,6,76.3
26.8,82.5,28.4,NA,30.8,6.7,76.8
25.6,76.7,27.8,32.5,30.6,10,74.8
24.5,85.1,23.7,NA,28,10.7,76.4
13.9,NA,25.2,NA,23.2,11.1,78.3
25.2,87.7,24,NA,NA,4.5,77.2
19.1,NA,22.3,NA,26.7,7.3,77.9
26.7,NA,NA,NA,29.3,10.9,74.5
21.7,78.5,25.8,26.5,19.2,7.8,78.7
NA,NA,NA,NA,NA,10.3,75.8
NA,NA,NA,NA,NA,NA,76.6
25.8,NA,30.3,NA,23.3,8.9,77.7
28.5,NA,20.7,NA,22,8.6,78
18.8,77.6,25.3,28.5,26.4,5.7,78.6
18.8,78.1,NA,17.3,NA,6.2,78.8
25,78.8,26.6,27.8,26.1,8.7,74.7
NA,NA,29.6,NA,NA,8.8,76.2
NA,NA,NA,NA,NA,8.1,76.9
17.1,79.5,21.7,20.9,27.5,4.5,79
20.7,81.5,28.8,23.9,29.8,9.6,77.1
23.8,81.5,33.1,NA,27.7,10.9,76.1
19.9,82.5,22.5,23.5,27.7,6.7,77.2
19.7,NA,24.1,NA,12.2,10.7,77.4
19.1,NA,26.6,NA,24.9,4.6,77.4
21.3,77,23.7,24,23.2,6.9,77.6
24.6,82,23.8,22.8,28.2,9,77.2
28.9,87.3,30.5,NA,NA,11.1,77.1
NA,NA,NA,NA,NA,3.2,76.4
20,NA,21.5,22,27.4,4.4,77.6
20,76.7,26.5,30.1,24.1,9.3,76.5
18.7,74.3,20.8,23.6,17.9,6,77.5
11.3,NA,13.9,NA,NA,4.4,76.8
28.3,78.9,31.9,NA,33.1,8.4,77
19.1,78.6,21.5,23.9,21.8,6.6,78
NA,NA,NA,NA,NA,NA,77.4
NA,NA,NA,NA,NA,9.9,74.6
25.1,77.7,24.6,18.3,28.8,7.2,77
15.5,NA,18.1,NA,13.3,12.6,80.2
NA,NA,NA,NA,NA,NA,76.9
25.7,78.8,26.1,30,20.8,9,77.3
16.9,77.8,21.3,15.8,20.5,6,78.1
NA,NA,NA,NA,NA,NA,76.6
NA,NA,NA,NA,NA,11,76.6
23.3,79.9,23.3,26.4,24.7,7.1,77.4
25.7,78.3,19.9,NA,22.7,6.2,77.6
NA,NA,NA,NA,NA,NA,76.9
NA,NA,NA,NA,NA,5.9,80.3
12.9,72.2,23.5,23,15.7,3.3,81.1
14.9,NA,NA,NA,15.4,4.7,80.3
NA,NA,NA,NA,NA,NA,76.8
14.1,70,21.9,21.4,14.6,3.5,80.7
23.9,85.9,23.5,31.4,19.8,5.5,78.9
19,NA,NA,20.4,20.3,5.4,78.3
24.7,NA,25.6,NA,25.8,9.5,77.7
NA,NA,NA,NA,NA,8.2,80.3
24.7,NA,33.2,NA,26,8.6,78
NA,NA,NA,NA,NA,NA,78.7
12.7,NA,NA,NA,12.7,8,79.4
17.6,73.6,21.3,21.2,20.6,4.7,78
NA,NA,NA,NA,NA,NA,78.3
NA,NA,13.2,NA,NA,7,78.9
16.9,81.4,NA,NA,21.4,11.6,79.1
15.4,75.7,24.6,27.4,23.9,5.2,79.4
NA,NA,NA,NA,NA,NA,80.3
13.5,NA,NA,NA,NA,6.7,78.1
16.9,76.4,18.5,24.2,21.5,6,77.8
13.9,77.5,21,17,16.1,3.5,79.2
15.4,78.5,23.2,24.2,21.2,5.5,79.3
20.4,76,24.1,19.6,17.3,6.2,78.2
NA,NA,NA,NA,NA,7.1,79.2
16.1,77.1,18.9,18.9,18.5,3.9,80.8
21.7,74.4,16.3,20.5,17.2,4.8,79.8
NA,NA,NA,NA,NA,7,78.7
NA,NA,NA,NA,NA,10.5,79.4
17.4,84.2,29.7,NA,23.8,6.9,79.7
NA,NA,NA,NA,NA,NA,78.7
13.5,NA,NA,NA,16.9,7.3,79.4
NA,NA,NA,NA,NA,6.6,78.1
17.9,80.3,26,NA,27.8,10,80.1
11.2,NA,15,NA,NA,5.5,79.8
15.1,73.9,20.2,22.2,20.2,4.6,79.8
NA,NA,NA,NA,NA,4.8,78.9
NA,NA,NA,NA,NA,NA,78.7
21.4,72.8,21.5,25.9,17.4,4.6,79.4
16.9,79.9,24.5,25.6,24.8,2.9,78.9
NA,NA,NA,NA,NA,7.1,79.5
14.7,75,19.9,NA,27.9,7.6,77.9
12.6,77.7,22,16.2,14.9,2.3,81
13.5,NA,NA,NA,19.6,8.7,77.5
18.8,75.2,26.8,34.2,22.2,7.6,76.2
NA,NA,NA,NA,NA,7.9,79.1
17.3,85.3,24.6,22.6,26.3,5.2,78
20.5,81.6,22.5,21.2,20.6,3.9,79.2
NA,NA,NA,NA,NA,4,76.8
NA,NA,NA,NA,NA,NA,77.8
13.6,NA,NA,NA,NA,3,78.9
22.7,79.8,23.4,34.6,21.6,7.2,79.2
14.5,77.1,21,19.6,17.9,5,80
NA,NA,NA,NA,15.1,2.7,79.8
17,79.5,24.6,20.2,23.9,5.7,79.1
17.2,76.8,20.9,22.2,18.3,7.3,80.5
22.2,NA,23.4,NA,19.3,7.6,79.8
11.6,NA,9.2,17.6,17.4,3.6,79
21.3,81.7,24.1,29.6,25.7,6.9,79.2
14.2,73.4,20.6,25.8,26.3,3.4,78.5
NA,NA,NA,NA,NA,NA,78.7
14.8,73.4,18.2,20.1,19.2,4.3,78.8
16.6,NA,18,18.4,23.6,5.4,79.4
21.3,77.6,29.2,NA,23.2,9.7,78.1
20.6,83.2,23.4,15.3,26.6,5.1,79.2
21.7,76.2,29.8,NA,23.3,6.7,77.2
11.9,76.6,21.4,21.7,25,8.3,78.2
15.5,NA,NA,NA,NA,6.5,80.3
NA,NA,NA,NA,NA,9.5,77.5
17.5,80.3,25.2,27.9,23.3,6.6,79.8
NA,NA,NA,NA,NA,NA,78.1
30.4,82.9,20.7,NA,21.1,8.4,78.2
NA,NA,NA,NA,NA,NA,79.5
21.8,NA,20.7,NA,15.7,8.8,77.8
NA,NA,NA,NA,NA,NA,78.2
18.7,NA,23.3,NA,21,4.2,79.2
22.8,78.8,23.1,22.5,35.5,5.7,76.5
NA,NA,NA,NA,NA,NA,80.3
20.5,NA,28,NA,12.3,4.5,79.4
16.4,77.3,25.4,25.9,18.2,6.3,79.7
NA,NA,NA,NA,NA,NA,76.8
NA,NA,NA,NA,NA,3.7,78.3
24.1,NA,24.5,NA,22,5.3,79.5
24.6,84,25.5,NA,21.9,5.1,78.8
22.2,86.4,19.8,NA,26.9,7,77.5
20.1,72,24.2,22.7,23.8,7,78.5
14.7,72.7,25.8,31.3,18.7,5.9,79.8
17,86.8,30.3,22.2,15.9,2.4,77.4
28.7,82.3,28.3,NA,20.3,12,73.9
NA,NA,30.3,NA,13.3,18.2,74.1
24.4,82,21.9,21.3,20,6,76
34.5,79.2,26.8,NA,25.7,11.1,71.9
29.7,83.2,28.1,29.7,31,9.1,74.4
NA,90.1,NA,NA,NA,10.3,72.7
30.8,84.3,33.5,37.7,29.1,13.8,73.2
42.9,82.7,29.4,30,24.6,11.1,75.6
34.5,81,25.1,NA,34.2,8.9,75.9
NA,NA,NA,NA,NA,15.9,71.2
31.3,82.8,34,35.6,21.9,10.4,71.4
30.2,82.9,26.9,28.9,24.2,6.8,76.1
37.5,NA,31.6,NA,26.2,12.2,72.7
NA,NA,NA,NA,8.2,NA,72.1
32.7,84.4,27.6,32,24.7,11.1,72.1
38,NA,20.6,NA,28.4,9.6,73.9
25,91.4,29,NA,30.9,5.9,72.7
35.1,84.8,36.3,NA,25.2,7.4,71.1
NA,93.8,NA,NA,21.7,9,71.2
29.4,89.5,27.6,27.6,37.1,8.6,73.4
29.6,84.1,32.7,NA,23.1,10.2,73.6
36.7,86.4,29.7,NA,28.3,10.6,74
36.4,76.5,25.1,33.8,33.3,10.6,73.3
NA,NA,NA,NA,NA,11.3,71.2
33.2,90,24.9,NA,30.8,6.1,75.8
31.1,92,32,NA,23.1,12.8,73.4
34.7,80.4,33.5,34.1,24.3,12.3,73.2
39.5,83,35.7,40.8,24.6,10.2,71.1
31.8,86.5,22.9,NA,23.2,9.3,74.7
32.8,NA,NA,NA,23.2,8.4,72.9
34.2,NA,NA,NA,18,7.2,74.2
34.3,NA,38.9,NA,20.3,9.5,75.3
29.4,86.9,28.9,NA,NA,8.1,72.1
36.1,82.6,24.5,NA,25.5,10,74
38.8,90.5,33.6,NA,21.7,9.7,72.3
34.4,85.1,30,NA,26.4,11.9,73.6
NA,NA,21.6,NA,22.2,9.2,75.3
30.1,80.5,28.2,47.1,25.3,12.2,72.6
32.3,NA,NA,NA,12.4,7.7,71.9
37.9,NA,29.8,NA,17.3,12.5,74.7
31.1,NA,32.7,NA,21.1,9.7,73.6
27.8,83.8,27,NA,26.9,9.1,70.1
36.7,78.4,35.7,33.6,27.1,7.6,72.7
30.6,85.7,24.6,NA,28.9,10.6,72.5
29.6,85.4,24.6,26.6,26.2,8,74.8
31.1,82.1,28.1,29.6,22.2,6.6,73.3
NA,NA,NA,NA,NA,10.6,71.9
32.6,85.6,31.1,NA,26.2,8.5,73.6
33.3,74.4,24.1,30.8,25.9,8.9,73.8
NA,NA,NA,NA,NA,14.8,73.6
38,89.6,27,NA,32.1,14.9,71.9
31.4,81.1,25.1,31.6,30.3,9.8,74
29.5,80.7,26.8,29.3,28.5,10.5,73.4
31.9,81.5,26.1,29.7,21.6,9.2,73.5
35.5,86,28.9,NA,27.7,13.3,72.1
NA,NA,NA,NA,NA,3,72.1
NA,NA,NA,NA,NA,NA,72.1
37.7,86.6,28.4,NA,23.2,9.6,73.3
28.1,75.9,26.1,30.4,28.2,9.6,74.2
29.6,81.8,34.5,NA,25.3,9.6,74.2
35.5,88,28.6,NA,20.9,10.9,73.9
NA,NA,NA,NA,NA,11.3,71.9
34.4,NA,27.5,NA,21.8,7.8,72.5
34.2,84.4,29.9,34.7,23,9.4,74.3
NA,NA,NA,NA,NA,8.8,74.1
20.4,82.3,22.3,24.2,21.9,6.8,75.5
26,79.7,29.2,25.4,27.1,7.2,75.8
27,78.6,26.5,33.4,24.5,8,73.1
37.6,84.1,35.5,NA,30.8,9.1,73.4
39.1,84.6,29,NA,20.1,12,72.7
30.8,87.3,28.4,NA,18.5,11.4,72.7
33.1,77.5,25.5,35.7,19.7,9.8,74.4
49.5,86.3,30.7,39.6,25.5,11.9,72.5
29.3,88,27.1,36,27.8,8.4,72.9
30.4,80.6,24.3,28.2,23,10.6,74.8
21,80.8,25.8,21.9,16.8,5.5,73.7
38.7,80.6,31,25.1,34.9,10.4,72.2
31.3,80.6,38.6,NA,31.2,14.3,72.2
34.6,83.2,28.5,41.6,25.4,9.9,74.4
26.2,83.2,31.3,NA,25.3,11.9,72.9
36.8,81.9,26.8,30.7,26.2,8.6,73.7
NA,NA,NA,NA,NA,12,73.6
NA,NA,NA,NA,NA,NA,76.9
24.6,82.6,23.8,24.8,24.5,7,77
NA,NA,NA,NA,14.2,6.6,76.1
37.9,84.4,25.8,24.1,33.7,7.6,75.6
28.6,82,29,NA,15.6,12.1,76.2
26.2,NA,23.5,NA,26,5.2,75.8
31.8,76.1,29.3,NA,27.8,8,76.5
NA,NA,NA,NA,NA,6.2,76.3
36,81.3,24.5,NA,26.6,6.7,75.8
29.8,72.1,28.3,NA,26.1,10.7,76.5
25.9,NA,18.4,NA,NA,2.9,75.3
NA,NA,NA,NA,NA,NA,76.4
27.5,75.6,25.8,25.5,23.4,8,75.8
NA,NA,NA,NA,NA,6,73.3
18.1,NA,NA,NA,NA,4.1,75.8
29.5,80.1,24.9,30.8,26.6,8,75.9
NA,NA,NA,NA,23.1,11.1,76.7
26.7,NA,23.9,NA,36.3,5.9,75.8
NA,NA,NA,NA,NA,4.6,72.7
21.6,NA,20.7,NA,NA,13.4,75.4
31.2,84.7,27,NA,33.9,13.1,76.5
NA,86.7,NA,NA,NA,9.6,75.7
34.7,87.2,27.7,NA,30.6,9.3,75.3
33.6,83.7,24.6,NA,29.3,11.9,75.4
NA,NA,23,NA,29.5,12.7,72.7
25,81.4,26.5,21.4,24.2,6.1,76
25.6,83,25.9,35,18,6.8,79.3
NA,NA,NA,NA,NA,6.7,74.3
15.1,NA,16.7,NA,NA,9.9,75.8
NA,NA,NA,NA,NA,14.4,75.2
44.8,NA,30.1,NA,28.8,12.9,70.9
24.7,NA,25.3,NA,26.9,10.2,77.3
24.4,85.3,20.3,22.8,28.4,4.5,75.5
32.4,NA,24.6,NA,19.4,17.8,75.3
29.3,74.6,22,31.6,26.9,7.4,75.4
25.5,76.7,24.2,NA,22.4,8.7,76.3
22.2,78.9,24.5,17.7,20.6,5.6,78.6
29.2,87.5,17.2,NA,23.9,13.6,75.8
29.3,80.5,24.5,NA,32.9,7.5,75.2
NA,NA,NA,NA,NA,6.1,76.7
24,NA,24.7,NA,30,7.8,76.3
31.4,86.1,34.3,33.9,24,9.9,74.8
32,NA,31.9,NA,36.3,8.2,75.6
NA,NA,NA,NA,NA,8.4,74.9
NA,NA,NA,NA,NA,9.1,74.9
NA,NA,NA,NA,NA,12.7,74.3
19.5,75.7,20.9,23.2,21,5.7,78.2
NA,NA,NA,NA,NA,NA,75.8
20.5,NA,NA,NA,NA,6.3,77.3
29.9,80.8,30.9,38.9,30.5,10.7,73.6
19.6,79.2,20.6,26.1,19.6,5.3,77.4
31,83.1,26.3,38.6,33.2,11.4,75.3
NA,NA,15.3,NA,NA,6.2,76.1
NA,NA,NA,NA,18,5.7,76.1
21.7,78.1,19.8,18.6,25.4,3.7,78
23.8,80.6,20.5,21.3,18.2,6.2,77.9
37.2,83.8,27.8,26.4,29.6,6.8,74.9
NA,NA,NA,NA,NA,10.1,74.9
NA,NA,23.3,NA,NA,8.9,76.5
36,83.2,29.4,29.8,30,7.8,75.2
29.5,NA,21.8,NA,19.2,8.4,76.7
NA,NA,NA,NA,22,12.3,76.7
21.2,80.1,21.7,NA,23.7,7.8,76.7
29.8,79.1,21.2,NA,29.3,10.2,74.9
25.8,86,21.6,NA,NA,8.3,75.3
NA,NA,NA,NA,13.8,7,75.9
28.9,79.9,25.2,26.7,31.7,7.6,75.9
33.1,89.4,29.3,NA,34.3,8.8,73.4
34.5,NA,20.3,NA,NA,9.1,74.9
29,81.7,24,NA,32.2,5.1,76.5
NA,NA,NA,NA,15.6,NA,77
32.5,91.2,25.7,NA,24.7,8.1,75.2
35.6,78.1,36.5,42.5,35.6,13.4,73.5
38.4,89.7,25.3,NA,33.5,5.8,75.6
29.7,82,26.8,17.5,30.7,7.2,75.8
26.8,75.3,24.4,24.9,27.1,6.6,77.2
25.7,80.9,24.5,26.9,20.1,8.1,77.2
32.4,76.9,28.5,NA,23.3,7.3,75.6
NA,NA,NA,NA,NA,NA,74.9
29.8,80.9,28.9,30.2,25.7,6,77.3
NA,NA,NA,NA,NA,5.5,76.4
28.8,80.5,26,31.8,19.3,9.1,77.8
23.9,75.4,32,NA,20.5,8.5,76.5
23.5,76.3,21,19.6,23.9,4,77.5
28,83.8,NA,NA,NA,9.4,76.1
22.3,78.9,24.2,21.7,25.1,4.9,77.1
31,NA,22.7,NA,20.9,8.5,75.9
28.5,78.8,29.7,30.3,27,10.2,70.8
19.1,80.2,20.9,24.6,22.5,5.9,76.5
29.1,NA,25.8,NA,24.5,14.4,77.6
33.1,87.8,25.3,NA,NA,5.8,75.8
NA,NA,NA,NA,NA,NA,76.4
NA,NA,NA,NA,NA,3.5,75.3
30.4,89.2,30.1,NA,22.9,5.1,77.8
35,86.6,23.1,NA,35.4,5.9,75.6
41.2,NA,31.5,NA,23.5,6.9,77
32.7,NA,29,NA,NA,6.4,75.8
NA,NA,NA,NA,NA,5.7,75.2
35.9,76.5,25.8,NA,45.4,7.2,72.7
26.7,72.7,25.6,24.3,29.9,5.6,75.9
30.4,NA,23.3,NA,NA,8.1,75.7
33.5,83.5,26,NA,21.7,4.1,77
22.5,80.2,22.3,26.3,26.2,7,76.7
35.7,69.5,22.2,NA,34,9,76.7
32.5,82.6,25.2,NA,22,8.8,76.9
32.1,72.6,30.9,NA,24.2,11.2,77
37.4,80,NA,NA,23.3,10,75.8
NA,NA,16.7,NA,NA,7.5,75.3
NA,NA,22.3,NA,20.1,2.7,77.8
NA,NA,NA,NA,NA,11.6,77.6
31,82.5,21.2,34.5,22.5,7.5,75.4
NA,NA,NA,NA,NA,7.9,73.3
24.7,78.9,24.6,25.8,25.8,7.8,75.2
29.9,85,25.2,24.1,27.1,8.1,75.5
26.1,78.7,19.9,24,31.1,5.6,75.4
25,80.7,26.8,NA,21.7,11.5,75.3
29.9,73.1,27.9,NA,27.8,6.5,76.9
NA,NA,NA,NA,NA,NA,72.8
29.1,72.3,21.9,25.1,21.2,7.1,76.8
NA,NA,NA,NA,19,3.4,76.4
NA,NA,NA,NA,NA,NA,77.5
21.8,78.9,21.4,25.2,21.1,5.5,77.9
NA,NA,NA,NA,NA,NA,77.5
20.9,77.8,21.9,29.6,18.5,6.5,76.9
22.6,78.5,22.7,NA,15.7,4.4,76.8
24.9,74.3,18.9,26.1,22.2,5.8,77.5
NA,82.5,NA,NA,10.6,10.3,75.8
20.7,75.7,20.5,17.8,10.7,7.9,77.7
26.9,80.4,22.8,29,21.9,7.2,77.5
27.9,76.8,24.8,33.6,25.7,6.9,77.8
27.7,83.5,21,NA,25.7,3.8,77.5
23.5,74.1,24,22.5,16.2,6.5,76.4
16.3,71.7,14,21.3,17.8,5.1,77.3
13.5,77.3,11.5,15.2,14.9,2.9,79.3
NA,NA,NA,NA,NA,NA,75.8
30.4,79.1,29.9,27.2,35.3,10.2,74.4
NA,NA,NA,NA,NA,NA,76.4
15.3,NA,20.5,NA,15.5,11,77.8
29.9,80.4,32.6,24.7,30.7,9.4,72.8
22.5,76.7,24.3,25.7,26.2,6.2,76.9
18.1,80.1,15.3,21.8,21.7,5.4,77.7
24.9,NA,22.5,NA,11.6,8.5,76.9
22.3,75.8,20.8,24.3,23.6,5.6,75.6
19.5,78.6,20.5,21.1,18.3,5.7,77.7
NA,85.9,NA,NA,4.2,9.1,76.9
24.2,79.7,22.3,29,27.3,6.8,76.1
NA,NA,NA,NA,NA,NA,75.8
20.6,69.1,14.5,21,17.2,3.2,77.7
NA,NA,NA,NA,18.4,7.2,76.4
27.5,80.5,26.5,28.6,33.7,8,76.8
24.1,NA,20.8,NA,20.3,9.1,76.1
12.8,75.6,15,20,20.1,3.9,78.3
26.9,80.7,16.1,17.5,17.2,3.2,76.4
20.9,74.8,13.7,20.3,18.3,3.2,79.3
NA,NA,NA,NA,NA,NA,75.8
33.5,76.8,20.7,NA,14.9,6.5,76.8
26.8,75.9,27.9,NA,21.4,11.2,74.4
NA,NA,NA,NA,NA,NA,77.5
22.7,77.2,24.5,NA,23,7.9,77.8
NA,NA,NA,NA,NA,NA,77.5
26.7,72.5,21.4,NA,19.3,8.4,77.7
17.7,75.3,17.3,27.2,19.7,6.2,77.8
27.2,76.4,21.6,29.1,18.9,7.9,77.5
32.3,73.7,30.9,28.8,33.6,13.8,75.8
26.9,79.5,30.9,24.6,22.3,7.4,72.8
26.3,75.7,21,19.9,19.3,8.7,76.1
34.4,78.2,23.6,NA,19.5,5.5,75.8
23.9,78.9,16.9,28.7,21.7,4.8,75.4
31.7,79.1,18.8,23.1,22.1,5.5,79.3
22.6,70.8,19,NA,18.1,3.4,79.3
23.7,79.2,19.8,27.3,16.4,4,74.4
21.2,75.4,17.2,26.1,20.2,3.6,79.3
26.2,75.3,23.6,24.5,22.6,7.7,77.5
NA,NA,NA,NA,NA,NA,79.5
33.1,NA,NA,NA,24.8,4.2,76.4
29,77.3,25.5,NA,18.1,7.5,79
22.8,78.8,21.3,20.6,20.6,5.4,79
22.7,82.8,23.4,26.1,20.9,6.7,77.7
NA,NA,NA,NA,NA,NA,78.4
NA,NA,NA,NA,NA,NA,78.3
NA,NA,NA,NA,NA,NA,78.4
24.1,82.5,18.5,23.8,20.2,5.8,78.7
26.1,NA,28.8,NA,17.6,4.4,78.7
37.1,81.8,31.3,NA,23.2,9.4,79
26.9,78,23,NA,21.2,9.2,76.4
NA,NA,NA,NA,NA,13.1,78.7
29.1,NA,26.8,NA,24.2,7.8,77
25.5,82.4,24.6,NA,10.1,7.3,77.8
25,82.1,25.1,30.8,17,6.2,77
NA,NA,NA,NA,13,8.5,77
27.8,NA,18.6,NA,14.8,12.2,77.5
28.5,79,30.9,21.5,15.4,4.7,76.9
33.5,76.8,21.9,NA,23.2,6.1,77.4
22.7,80.3,28.1,21,27.8,5.8,78.3
20,84.5,20.7,22,16.8,5.7,79.2
22.5,86,18.9,NA,23.3,6.2,79
25.5,79.5,21.6,22.6,22.2,6.8,77.7
31.6,80,28.7,NA,22.6,7.2,77
NA,NA,NA,NA,NA,NA,79.5
22.9,82.1,28.1,24.1,18.5,6.2,78.7
18.9,81.2,25,20.3,19.9,5.4,78.2
26.1,81.2,23.6,23.3,18.8,7.4,78.5
25.1,77.2,26.1,25.5,22.1,8.8,77.4
20.4,77,21.7,21.5,15,6.4,78.9
NA,NA,NA,NA,NA,3.8,79.5
29.7,NA,28.2,NA,14.2,7,78.3
NA,NA,27.6,NA,NA,12.8,78.3
NA,NA,NA,NA,NA,NA,78.3
20,NA,24.5,NA,25.5,1.7,80.1
24.4,79.6,27.1,NA,19.7,8.8,77.8
NA,NA,NA,NA,NA,NA,78.4
26.3,NA,NA,NA,NA,14.7,77.4
24.1,84.9,25.6,NA,14.7,5.7,78.3
20.6,86.4,28.4,20.7,19,6.8,78.3
21.9,79.7,21.3,22.4,20.7,5,77.4
NA,NA,NA,NA,NA,5.9,79.5
30.5,NA,20.1,NA,22.5,3.7,77.8
NA,NA,NA,NA,NA,NA,78.3
16.8,71.8,29,29.9,18.1,6.1,79.2
23.1,82.1,24.8,21,20.4,4.3,79.4
22.7,81,24.4,27.4,21,5.5,78.2
24.7,79.4,22.1,NA,19.5,5.7,77.4
20.5,83.4,27.3,NA,21.8,6.6,78.9
25.1,84.2,26.6,23.2,24,7.5,78.5
25.2,NA,25.2,12.7,12.3,6.6,79
20.8,NA,19.2,NA,11.1,6.6,77.5
26.5,82.3,26.1,NA,18.3,5.8,78.4
25.5,85.5,19.4,27.7,23.7,7.5,76.4
22.9,77.9,24.7,18.8,19.3,5.9,77.8
30.5,76.5,21.5,NA,18.3,4.2,80.1
28.6,76.6,26.1,NA,16.6,4.9,80.1
27.2,76.9,23.4,NA,20.3,7.1,78.7
26.9,85.4,25.7,25.1,15.4,6.8,78.4
37.3,84.3,26,22.7,28.4,8.8,77.4
17.5,84,19.5,20.5,14.7,8.3,78.3
27.5,80.6,23,21.4,24.4,5.9,76.9
NA,NA,NA,NA,NA,1.1,76.4
22.2,NA,22.7,NA,26.6,8.8,79
26.6,79,25.3,28.1,23.4,6.8,78.3
22,82,22.2,21.5,22.8,6.1,76.8
NA,NA,NA,NA,NA,4.6,77.5
32.8,80.8,21.1,NA,10.7,9.5,79.2
NA,NA,NA,NA,NA,NA,78.4
NA,90.3,NA,NA,22,11.7,77.7
20.1,NA,26.5,NA,18.9,6.7,77.7
22.8,88.8,24,NA,20.1,5.5,77.7
26,84.3,25.8,27.6,22.7,7.7,77.4
NA,NA,NA,NA,NA,7.1,76.4
NA,NA,NA,NA,14,10.7,78.3
NA,NA,NA,NA,14.7,4.5,76.9
NA,NA,NA,NA,NA,NA,78.4
NA,NA,NA,NA,NA,11,78.3
27.5,82.9,24.8,23.6,22.3,6.3,77.2
NA,NA,NA,NA,NA,NA,76.4
29.5,77.7,27,23.3,16.5,6,79
24,NA,24.6,NA,12,7.7,77.7
NA,NA,NA,NA,NA,NA,77.7
NA,NA,24.5,NA,25.9,8.9,77.5
30.8,83.2,24.4,19.6,17.1,5,79.5
NA,NA,NA,NA,NA,NA,78.4
24,82.8,28.9,NA,16,6.5,78.3
33.2,81.2,24,21.6,19.9,7.4,78.7
NA,NA,NA,NA,20.3,6.7,77
25.9,76.9,24.2,14.4,17.4,5.5,76.9
NA,NA,NA,NA,NA,NA,78.3
NA,NA,NA,NA,NA,NA,75.7
20.9,79.3,22.1,18.2,24.1,5.8,75.7
21.9,82.1,23.4,NA,19.4,5,75.7
16.3,NA,26.5,NA,18.6,10.5,74.5
24.7,83.9,22.5,34.5,30.1,7.9,75.5
21.6,79,20.9,29,28,5.9,75.5
29.3,84.7,30.2,NA,38.8,8.3,75.5
28.3,78.6,27.7,32.6,28,9.5,74.5
18.8,NA,29.7,NA,NA,6,75.7
NA,NA,NA,NA,NA,NA,76.2
18.6,77.9,18,23.4,22.2,5.6,76.2
21.5,83.3,21.4,NA,18.5,6.7,75.7
25.6,78.3,21.6,24.8,25.7,7,75.7
25.9,77.1,19.1,20.7,23.5,5.8,75.3
15.5,76.7,15.6,28.5,22.1,5.3,79.8
25.4,85.4,23.2,23.3,26.5,5,77.7
NA,NA,NA,NA,NA,NA,75.5
21.3,73.6,20.5,22,21.5,5.8,78.4
19.6,70.3,20,23.3,21.2,6.2,78.2
20,71.7,21.1,22.2,21.5,5.8,78.6
22.5,70.3,20.2,26.1,23,6.4,78.1
20.1,72.9,21.8,25.2,25.1,6,77.3
21,74.3,19.8,25.6,22.7,6.4,77.8
20.5,69.3,16.3,26.3,21.8,6.8,78.1
17.9,71,21.3,24.5,23.3,6.5,78
28,73.1,23.6,28.7,27.9,7.3,76.2
17.8,68.6,20.4,22.1,18.8,5.6,78.7
31.9,71.8,24.5,31.1,26.6,12.7,74.7
30.6,70.6,25.2,26.9,17.8,7.8,74.7
24.5,76.1,22.4,25.8,22.8,8.1,76.7
33.7,75.9,21.2,24.2,20.3,6.3,76.7
16.2,75.1,15.6,22.1,15.3,5.8,79.5
29.3,73.3,25.8,28.7,24.5,9.3,75.5
24.1,72.3,19.7,27.2,17,6.8,77.1
