No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,ALE
25.1,75.6,19.1,24.2,17.1,7.1,78.3
22.1,72.5,17.1,25.2,20.3,5.5,77.6
20.5,72.2,16.3,23.5,15.8,5.4,79.3
28.4,70.7,22.8,29.3,21.5,8,77.8
31.2,75.3,21,24.8,19.1,6.9,77.1
36.3,78.9,26.8,28.8,24,7.1,75.3
19.3,73.7,17.1,24.2,15.2,4.7,79.5
23,70.8,22.5,25.6,23.2,5.3,77.6
28.1,72.6,20.7,25.8,19.2,7.5,77.7
23,71.8,16.2,26.4,16.6,5.6,79.9
26.3,69.4,24.5,24.8,19.3,6.7,78
25.2,72.7,21.8,24.6,21.1,7.1,77.6
28.5,76.6,24.1,26.8,23.3,7,75.8
27.3,68.9,19.9,34.2,24.1,9.5,76.6
NA,NA,NA,NA,NA,7.5,77
27.7,81.1,22.6,19.9,18.3,6.9,78.5
30.7,80.9,29.9,27.4,25.2,9.4,75.2
23.4,76.1,20.2,26.5,20.3,9,76.6
NA,91.7,20.1,NA,NA,NA,77
18.9,78.1,17.5,20.2,21,5.4,77.7
NA,NA,NA,NA,NA,NA,78.4
25.5,NA,24.9,NA,NA,9.6,76.6
34.6,78.6,27.5,22.4,29,7.3,75
22.8,77.3,15.6,30.5,22.8,6.7,76.8
12,66.8,12.8,19.7,11.1,3.1,79.6
35.9,81,25.3,31.7,22.3,9.3,76.6
22.4,72,26.8,17.9,17,10.4,74.5
21.1,87.5,20.6,NA,24.7,15.5,78.4
22,77.7,24.8,23.2,25.2,8.4,77.7
35.3,78.7,24.8,24.3,27.7,6.7,77
28.3,78.9,19.7,16.8,25.4,7.7,74.2
26.7,NA,16.1,NA,16.6,3.1,77.4
33.8,81.4,20.5,22.5,24.1,6.8,77
21.7,78.3,22.9,21.2,20,6,79
21.6,77.6,22.3,21.7,23.5,5.9,76.4
26.7,81.8,21.5,19.1,26.5,7,75.8
18.1,75.5,14.7,18.6,19.7,4.2,79.6
25.4,75.2,24.4,NA,24.8,8,76.8
27.8,77.8,19.8,27,25.4,10.4,77.4
21,72.1,17.7,21.1,20.3,5.8,78.7
27.9,84.9,25.2,NA,28.1,8.3,77.4
24.8,NA,15.5,NA,20.5,2.6,78.4
30.2,81.1,24.1,27.2,23.9,9.4,76
27.7,79.8,22,22.3,24.9,6.2,76.1
28.3,82.9,26.6,17.5,23.7,10.5,76.1
24.5,80.6,20.4,21.4,21.5,8.4,78.4
26.4,80.8,22.4,18.6,25.1,5.3,76
25.2,84.1,25.5,27.1,35.1,7.9,77.1
27.5,73.7,19.8,25.2,20.9,6.3,77.9
25.2,76.7,22.6,24.5,30.9,9.7,75.4
21.3,80.4,21.7,NA,24.6,5.7,78.3
17.4,63.1,18.8,25.2,16.3,4.8,79
21.4,71.6,22.7,30.6,23.2,9.5,77.5
17.7,NA,22.6,NA,29.9,11.4,77.8
24.9,NA,25.4,NA,24.2,5.4,77.5
28.5,69.8,24.9,25.6,29.6,8.1,77.3
22.7,67.3,15.2,22.7,13.9,6.7,79.5
27.1,80.3,23.6,NA,32.7,6,78.4
20,NA,25.7,NA,19.9,6.4,77.9
NA,NA,NA,NA,NA,7.9,77.1
25.8,76.1,25.8,30.4,24.3,7.1,77.7
23.8,79,27.9,29.8,25.9,9.2,77.1
22.5,77.9,34,NA,19.3,9.6,77
26.6,71.9,22,24.8,24.4,6.6,77
25.9,69.7,20,28.8,21.9,6.8,77.7
27.8,NA,25,NA,20.8,7.2,77.4
22.1,81.8,17.3,NA,27.8,3,77.1
33.5,83.7,26.6,NA,23.8,9.8,77.9
23.6,73.2,20.8,26,21.7,8.2,78
23.9,73.7,23.9,26.3,22.7,8.1,76.9
24.8,NA,16.3,NA,15.5,5.3,77.2
23,NA,24.5,NA,28.3,9.9,77
23.9,86.7,20.5,NA,31,2.8,77.5
26.7,74.6,17.3,21.3,24.2,9,77.8
NA,NA,20.3,NA,29.5,8.8,76.5
26.8,77.4,NA,NA,NA,10.2,77.1
NA,NA,NA,NA,NA,NA,77.2
25.7,74.4,23.6,NA,21.1,10.9,77.8
21.7,70.1,25.9,31.1,34.2,8.2,77.6
34.6,73.5,23,23.6,18.7,8.8,76.7
NA,NA,27.7,NA,19.4,14.9,78
17.7,NA,20.1,16,22.1,4.9,77.6
22,NA,28.1,NA,29.1,4.8,78.1
23.6,72.6,22.2,26.1,22.2,7.3,78.2
33.6,NA,23.5,NA,30.4,5.6,78.2
25.3,73,16.6,24.5,18.1,6,79.2
35.5,73.8,24.4,24.5,19.6,9.2,75
24.5,71,15.9,23.1,18.7,6.6,78
24.4,75.5,25.4,27.8,26.5,7.1,76.7
23.4,74.4,21.1,34.1,23.3,7.4,77.4
22.5,72.3,22.8,26.4,21.7,6.4,77.6
16.9,68.5,19.3,21.3,16.1,6.2,77.9
25.4,75.9,23.9,28.1,23.2,6.5,77.4
NA,NA,27.3,NA,21.3,10.3,76.8
25.7,82.8,26.6,20.3,32.1,5.8,76.5
20.5,75.3,21.1,NA,25.4,6.4,78.5
21.4,NA,17.2,16.8,19.6,5.8,79
20.9,76.5,23.2,31.7,25.9,8.8,77.7
33.5,73.9,17.1,22.9,16.6,6.3,79
20.4,74.2,23,33.2,25.1,9.8,76.8
28.3,77.8,22.6,20.9,27.3,6.6,77
28.1,71.4,18.1,28.6,17.8,8.7,79
25.8,74.2,25,32.1,25.2,10.6,76.5
18.4,76.4,20.4,22.6,23.4,6.5,79
23.2,67.9,25.2,30.8,21.4,9,77.9
NA,NA,16.9,NA,NA,4.9,77.3
NA,NA,NA,NA,NA,1,77.1
NA,NA,23.2,NA,NA,4.6,78
26.9,75.2,19.9,NA,28.9,4.4,76.2
31.9,76.5,25.1,24.2,26,7.9,75.1
NA,NA,NA,NA,NA,6,73.6
30.6,79.8,23.8,33.5,26.5,8,74.5
34.9,81.2,25.8,NA,25.1,8.7,73.2
26,74.6,28.6,NA,24.1,6,75.9
30.3,78.7,22.3,NA,26.8,14.9,78.2
28.4,NA,16.1,NA,17,6.9,77.8
28.4,NA,NA,NA,NA,4.5,77.5
24.6,86.3,NA,NA,20.1,10.6,71.2
22.2,77.5,20.4,24,18.6,5.3,76.9
30.8,NA,16,NA,24.8,6.3,76.1
NA,NA,NA,NA,NA,18.3,76.1
33.1,NA,29.5,NA,28.5,8.8,75.6
29,74.9,27,41,21.2,5.3,77.7
31.6,78.2,27.3,31.7,25.5,7.8,74.5
20.4,75.9,20.9,26.1,21.7,7.3,76.9
34,NA,33.1,NA,NA,14.9,73.9
23.1,68.8,19,20.4,33,5.1,75.2
15.2,67.4,19,20.8,16.7,4.9,77.9
13.7,NA,19.1,NA,NA,5.9,74.2
29.6,NA,32.7,NA,24.2,8.5,75.1
31.8,79.3,33.8,NA,26,17.2,74.2
21.3,NA,23.4,NA,29.9,6.2,76.3
NA,NA,NA,NA,NA,4.6,74.8
32.6,87,29,NA,28.3,6.3,75.2
26.1,83.9,25.4,27.6,24.7,8.6,74.7
NA,NA,NA,NA,24.7,6.9,78
26.7,77,24.7,25.3,26.7,6.3,76.8
33.3,84.5,33.1,NA,26.4,8.5,73
43.6,86.8,31.5,29.5,30.2,11.9,71.5
27.9,70.6,29.3,29.3,34.5,8.1,75
33.2,80.6,25.1,36.6,28.9,10.6,75.3
NA,NA,NA,NA,15.9,18.3,73.2
30.7,72.4,19.4,28,20.6,5.3,74.7
41.2,81.5,32.1,33.6,27.3,9.6,74
36.1,79.4,29.2,NA,33.6,12.6,72.2
24.9,72.9,20.9,21.3,24.7,8.4,75.2
31.8,72.7,20.6,NA,31.3,12.2,76.3
35.5,81.2,26.2,33.1,30.8,9.1,75.9
NA,80.9,26.3,NA,NA,8.9,75.8
17.8,NA,NA,NA,NA,5.8,78.2
NA,NA,NA,NA,NA,NA,73.2
24.8,75,28.8,24.7,22.2,4.3,76.4
37.9,83.5,33.8,21,22.8,11.3,73
31.1,80.8,28.7,NA,26.1,12.7,72.3
18.1,77.4,19.4,19.9,17.7,4.9,78.1
28.6,NA,NA,NA,21.2,17,73.9
23.3,NA,NA,NA,20.2,7.8,73.2
22.3,64.7,15.6,23.8,28.3,8,78.6
32.1,80.3,25,36,30,11.7,73.7
29.6,74.5,23.1,31.4,23.7,9.8,76.1
28.8,79.2,31.1,41.1,23.1,12.7,73.7
34.8,76.6,22.9,22.3,30.8,7.6,76.4
NA,NA,12.1,NA,NA,11,77.5
25.9,75.1,25.8,24,28.7,9.8,75.8
25.5,81.1,25.1,27.9,30.2,9.1,75.9
22.8,72.3,21.6,26.4,25.1,6.9,76.4
25.5,78.4,26.5,26,33.5,7,76.2
27.9,73.7,25.1,23.8,23.4,10.9,76.3
31.1,84.6,27.8,36.9,24.7,10.3,75.8
NA,NA,NA,NA,NA,NA,75.1
24.9,76,24.5,29.8,21.6,8.3,76
NA,NA,NA,NA,NA,5.1,74.2
26.8,83.1,24.6,30.7,22.4,7.1,75.6
27.5,NA,20.3,29.1,21.6,4.9,77.3
27.8,80.1,23.9,NA,27.1,11.2,75.8
28.4,91.7,26.7,NA,25.9,7.1,76.2
NA,NA,NA,NA,NA,10.4,74.8
NA,NA,8.3,NA,NA,8.9,75.8
24.4,80.6,25.5,NA,27,8.7,74.4
39.1,87.2,30,32.4,28.2,11.5,72.7
20.9,73.9,22.5,28,22.4,9,75.5
24.6,80,23.5,30.7,27.7,7.2,74.3
26.7,89.5,17.2,NA,33.5,7.3,75.1
19.7,74.7,15.9,24.7,30,6.2,77.1
32.2,80.4,26.6,28.2,27.1,10,76.4
28.2,82.3,23.2,NA,23.1,6.5,76.4
NA,NA,NA,NA,NA,10.5,76.1
28.5,80.5,31.2,NA,21.9,8.4,73.6
23.6,66.8,21.1,24.9,19.4,4.3,75.6
34.5,83.9,34.6,NA,31.5,12.6,72
21.6,73.9,23,29.1,23.9,7.1,76.4
30.7,83.7,27.7,NA,26.4,8.5,74.9
30.4,86.8,28.6,28.6,28.4,12.2,73.9
NA,90.4,NA,NA,9.1,14.1,74.8
NA,NA,NA,NA,NA,7.5,75.8
26.9,82.7,27.1,NA,19.9,6.8,74.8
NA,NA,NA,NA,NA,14,73.2
29,NA,NA,NA,NA,11.4,73.3
23.7,74.7,22.1,28.5,21.2,8.2,76.7
33.8,85.1,34,33.5,20.6,9.3,73.5
26.2,75.2,26.5,23.6,26.8,7.3,74.9
31.6,70.8,23.7,36.9,30.4,8.6,76.9
23.8,71.6,19.6,28,23.6,6.1,78
36.2,85.8,36.9,NA,23.4,18.7,72.6
28.5,NA,30.7,25.6,36.1,8.9,74
NA,NA,NA,NA,NA,NA,73.2
25.2,78.4,24.3,28.8,27.2,6.4,75.9
21.3,NA,20.5,24.3,NA,6.7,76.5
30.3,72.4,20.7,28.1,28.4,7.6,76.5
21.6,78.4,22.5,22.4,22.2,5.6,78.7
27.6,73.6,29.1,33.1,14.1,6.4,76.8
21.4,77.8,24.3,26.7,24.9,5,78.4
27.9,NA,19.8,NA,16.7,11.1,76.7
27.9,92.5,NA,NA,12.9,4.3,77.2
18.2,79.8,20.9,19.5,19.3,5.3,80
18.9,80.2,20.9,20.2,21.3,4.9,79.1
24.5,71.4,27.9,NA,15.2,9.8,77.2
27.6,NA,22.6,NA,14.8,9.4,76.7
35.2,77.8,20.6,25.3,14,7.1,78.3
NA,NA,NA,NA,14.2,3.2,77.2
22.6,NA,23.5,NA,16.8,5.7,77.6
NA,86.4,19.7,NA,22.4,6.5,76.8
32,NA,31.4,NA,13.4,8.9,76.7
19.3,77.3,19.9,NA,16.5,7.3,76.8
NA,NA,NA,NA,NA,NA,77.6
18.8,78.1,20.7,19.1,20.5,5,78.9
27.5,NA,16.4,NA,12.7,6.3,76.7
NA,NA,16.6,NA,18.3,2.8,78.3
21.9,73.9,24.7,32.2,20.4,5.4,78.3
25.4,87.1,NA,18,NA,5.8,76.7
32.6,NA,16.4,NA,23,2.7,76.8
32.4,NA,21.8,NA,19.3,7.8,78.3
NA,NA,NA,NA,NA,NA,78.3
29.5,72.9,28.1,28.8,17,12.4,76.3
29.6,NA,34.6,NA,14.4,8.5,78.3
28,73.3,31.8,27.5,27.5,6.7,77.6
29.6,77.5,25.8,27.5,20.1,7.1,77.6
21.4,77.5,28.7,21.6,24,5.7,78.1
23.9,79.3,25.6,26.8,22.8,5.5,78.1
38.9,76.8,19,28.5,24,9.6,76.8
34.8,73.8,33.2,24,29.2,7.1,77.2
32.1,NA,29,NA,20.4,9.9,78.3
NA,NA,NA,NA,NA,NA,77.6
25.8,72,24.2,27.7,16.7,8,77.2
26.4,86.1,22.2,30.4,21.8,8.2,76.3
24,80.3,25.8,23.1,24.5,7.2,77.2
28.4,73.9,24.2,30.8,21,6.6,78.3
30.8,80.2,17.8,NA,16.6,11.8,77.2
23.9,78.2,24.8,23,23,3.7,78.3
29.3,81,37.2,21.9,35.6,13.7,76.3
NA,NA,NA,NA,NA,NA,77.6
31.7,74,23.2,25.8,21.2,4.6,78.3
NA,NA,NA,NA,NA,NA,76.8
21.9,NA,NA,12.9,NA,15,76.7
NA,NA,NA,NA,NA,NA,76.7
18.4,75.4,22.6,23.3,19.5,4.5,79.5
NA,NA,NA,NA,20.5,5.3,78.9
22.8,78.4,25.6,31.2,19.6,7.8,78
28.9,80.8,20.4,NA,16.3,4.4,76.8
21.1,79.3,27.9,18.1,14.3,6.4,78.9
25.9,78.1,19.3,27.7,24.9,8.5,77.2
25.5,79.1,22.9,31,21.7,3.1,77.2
NA,NA,NA,NA,NA,10.6,75.9
21,74,21.3,20.6,21.4,6.5,78.5
NA,NA,NA,NA,NA,NA,74.3
NA,NA,NA,NA,NA,8.6,77.9
16.3,77.1,29.7,24.1,22,6.8,77.4
NA,NA,NA,NA,NA,NA,76.6
25,76.6,24.2,25.7,22.5,8,75.6
NA,NA,NA,NA,NA,NA,76.6
NA,NA,NA,NA,NA,3.9,77.2
27.2,78.7,22.1,NA,29.9,8,75.8
NA,85.8,NA,NA,NA,8.2,77.5
NA,NA,NA,NA,NA,NA,76.6
NA,NA,NA,NA,15.8,NA,77.2
NA,NA,NA,NA,NA,NA,76.3
NA,NA,NA,NA,NA,NA,75.2
NA,NA,NA,NA,NA,6.6,75.6
NA,NA,NA,NA,NA,NA,73.7
16.6,77.1,21.7,21.1,24.1,4.6,77.8
NA,NA,NA,NA,NA,4.9,77.5
NA,NA,NA,NA,NA,NA,78.1
27,77.2,22.4,25.3,23.6,6.4,76.3
NA,82.1,NA,NA,NA,11,75.9
29.3,85.7,31.3,NA,NA,10.8,75.2
26.1,75.5,NA,NA,NA,9.2,77.2
39.5,85.8,31.3,NA,NA,6.8,73.4
NA,NA,NA,NA,NA,6.6,76.9
NA,NA,13.4,NA,NA,2.1,77.5
29.6,77.1,22.8,27.1,24.4,8.1,77
24.9,77,21,24.1,28,6.9,76.9
25.8,79.1,30.1,32.4,25,7.8,76.2
28.9,85,33.9,26.1,23.5,7.3,76.9
NA,NA,NA,NA,NA,7,77.4
NA,NA,NA,NA,NA,9.5,74.9
NA,NA,NA,NA,NA,NA,77.3
NA,NA,NA,NA,NA,NA,74.2
19.3,72.5,19.2,20.3,19.4,6.2,77.5
26.5,75.5,19.9,23.7,32.7,9.5,76.3
29.7,80.4,24.3,22.5,26,9.2,77
NA,NA,NA,10.8,NA,5.3,77.5
23.4,83.1,24,24.2,17.4,5.9,77.8
NA,NA,NA,NA,NA,NA,77.1
23.2,76.6,28.8,24.5,25.2,6.8,76.3
NA,NA,NA,NA,NA,5.3,77.6
NA,NA,NA,NA,NA,NA,73.6
NA,NA,NA,NA,NA,14.1,76.4
21.1,73,35.5,28.7,24,8.9,75.2
20,74.6,22.4,20.1,24,4.1,76.1
NA,NA,NA,NA,NA,NA,76.3
28.4,76.9,19.2,22.3,27.8,7.1,76.2
NA,85.5,NA,NA,NA,8.5,75.5
NA,NA,NA,NA,NA,6.5,75.9
24.6,77.3,23.6,26,23.9,7.5,76
NA,NA,NA,NA,NA,8,77.4
NA,NA,17.9,NA,NA,10.2,77.7
30.7,74.5,NA,20.7,23.2,1.9,76.5
12.7,74.7,20.2,22.7,17.6,5.6,78.4
NA,NA,NA,NA,NA,8.9,76.7
22.4,75,23.5,27.5,21.3,8.3,77.2
NA,NA,NA,NA,NA,NA,74.4
23,76.7,23.3,22.9,24.4,6.2,75.7
14.9,NA,11.6,NA,NA,5.2,77.7
NA,NA,NA,NA,NA,9.4,74.6
19,NA,28.4,NA,18.2,11.4,79.7
19.5,72.8,22.6,21.2,20.4,8.5,77.8
NA,NA,19.1,NA,NA,5.7,75.7
NA,NA,13.9,NA,18.8,4.3,77.8
23,73.5,22.5,24.7,22.6,7.6,76
28.4,85.1,24.6,NA,19.7,11.9,78.1
NA,NA,NA,NA,NA,NA,76.7
NA,NA,NA,NA,NA,NA,75.7
NA,NA,NA,NA,NA,NA,77
NA,NA,NA,NA,NA,5.8,75.1
NA,NA,NA,NA,NA,NA,74.8
NA,NA,NA,NA,NA,NA,78.1
21.1,82.6,NA,NA,NA,10.5,76.5
NA,NA,NA,NA,NA,7.9,74.2
NA,NA,17.8,NA,35.4,7,75.8
28.8,81.2,NA,NA,NA,14.3,75
NA,NA,NA,NA,NA,3.2,76.8
23.9,80,15.8,19.5,32.8,8.1,77.8
NA,NA,NA,NA,NA,5.8,74.1
26.5,77.7,27.9,25.2,28.7,9.3,76.2
NA,NA,NA,NA,NA,12.2,76.3
27.2,78.6,25.8,26.7,26.7,6.8,77.2
26.6,79.8,25.9,23.4,27.7,8.6,75.5
NA,NA,10.8,NA,8.8,3.4,75.1
27.5,78.1,22.5,25.3,23.1,7.4,75.5
22,NA,NA,NA,NA,4.1,74.9
36.1,85.9,28,33.6,26.8,9.2,74.2
37.5,83.1,21.9,NA,18.6,9.4,75.6
33.1,89.3,33.6,32.2,24,12.2,74.5
33.5,85.8,23.3,31,29.6,13.9,74.4
30.6,83.9,22.8,25.5,24.2,7,74.5
37.7,80.3,28.5,35.3,29.9,10.4,74.4
33.2,88.1,30.7,36.8,25.7,10.4,77.1
32.1,83.2,25.3,33.3,30.6,10.8,73.8
39.1,78.7,23.5,NA,36.7,10.1,75.6
23.3,85,21.2,24.2,19.5,6,77.9
38.9,82.6,35.4,NA,32.9,9.2,74.6
33.8,82.6,26.3,36.4,28.6,7.2,74.4
30,88.5,25.8,35.2,29.3,7.1,73.6
31.7,83.7,27,27.7,29.8,9.5,74.2
34.5,NA,24.2,NA,41.8,8.4,73.2
NA,NA,NA,NA,14.4,6.4,74.3
29.2,88.9,23.7,29,27.5,8.9,76.7
35,82.4,31.2,34.8,33.7,8.6,72
33.1,84.8,27.7,36.5,26.8,10.2,74.6
36.6,86.3,28.3,32.3,23.2,10.2,75.4
30.4,84,20.6,21,24.8,5.5,76.4
34.7,85.6,20.9,34.3,34.5,7.9,74.5
34.7,NA,NA,NA,NA,17.6,74.1
27.6,83.7,22.1,26.8,23,6.9,75.5
28.4,89.2,24.7,30.6,28,7.9,77.7
29.6,77.9,20.1,33.8,24.9,9.9,77.1
24.8,79.5,22.5,NA,23,6,74.8
30.6,NA,16.9,20.5,27.4,3.2,76.3
28,84.1,29.8,30.8,26.7,9,76.3
31.9,86.8,28.5,41,26.7,10.5,72.6
25.1,84.3,21.7,24.2,26.4,5.8,76.9
35.9,84.9,22,33.2,24.8,7.8,74.2
39.7,82.8,31.3,45.6,30.2,9.4,74.3
33.2,83.9,26.1,30.6,25.8,8.9,74.3
35.9,81.4,22.3,32.5,29.6,7.6,73.2
NA,NA,NA,NA,NA,7.1,76.4
23.4,84.4,20,24.1,23.1,4.7,77.6
NA,NA,NA,NA,NA,8,74.3
30.1,83.3,23.7,28.9,29.9,8.8,75.4
NA,NA,NA,NA,NA,8.3,74.1
39.5,85,22.5,32.4,27.7,7.7,74.5
34.7,84.8,26.7,32.6,25.2,6.6,74.7
28.7,81.7,24.3,29.6,22.7,7.2,74.7
NA,NA,NA,NA,NA,13.7,75.9
39.1,86.8,25,31,29.4,11.2,75.6
NA,NA,NA,NA,NA,6,75.9
NA,NA,17.7,NA,NA,4.2,74.3
28,84.5,28.8,27.7,26.5,7,75.3
35.5,81.3,25,34.6,27,10.8,74.1
29.6,83.9,26.7,26.5,21.4,6.9,74.8
22.2,93.1,24.5,NA,15.6,8.7,75.9
NA,NA,NA,NA,NA,12.7,74.8
NA,NA,NA,NA,NA,NA,74.8
NA,NA,NA,NA,NA,NA,76.3
35.3,87.5,23.5,NA,29.6,11.1,74.3
37.5,NA,24.3,31.8,26.4,6.5,74.1
32,88,22.7,31.8,29.8,6.2,74.3
30.6,77.9,25.4,30.4,25.5,10.4,75.5
NA,86.3,NA,NA,NA,10.1,74.1
33.6,NA,30.8,NA,23.3,9.9,74.6
29.9,83.3,25.4,30.6,25.6,9.5,75
29.1,75.4,27,31.2,22,5,74.6
34,NA,30.5,NA,31.8,14.9,74.8
33.7,89.1,34,NA,30.5,10.2,74.1
38.3,84.9,27.5,26.4,27.3,10.7,73.8
27.8,NA,23.1,17.5,NA,3.4,76.4
34.9,82.7,30.8,30.5,29.6,9,74.9
33.8,89.8,25.2,27,25.5,6.2,76.8
35.6,NA,28.6,NA,NA,12.5,74.6
28.2,82.2,25.7,27.4,22.8,6.9,75
35.9,85.5,29.9,33.9,24,7.2,72.1
40.5,85.8,26.1,43.8,35.6,9.3,74.4
NA,NA,NA,NA,4.9,6.9,75.9
38.2,83.7,33.6,NA,34.4,5.4,74.6
31.8,90.6,23.7,28.5,28.2,9.4,74.8
31.2,78.8,19.2,30.7,34.2,11.1,74.6
34.3,82.8,24.1,32.6,32,9.1,74.3
21.8,73,23.1,32,25.3,9.4,76.1
28.7,NA,29.4,NA,21.9,9.9,76.2
20.9,64,17.5,32.3,21.8,8.1,76.1
13.9,75,16.4,22.2,15.5,4.5,78.7
23.1,79.3,27.5,34,27.5,7.8,76.2
21.8,74,18.4,NA,21.9,10.5,77.2
NA,NA,NA,NA,NA,5,76.8
NA,NA,NA,NA,NA,NA,77.4
NA,NA,NA,NA,14,7,76.6
NA,NA,NA,NA,19.8,8.2,76.6
13.4,NA,25.1,NA,11.1,4.3,77.4
16.5,75,21.5,26.8,21.8,7.4,78
26.6,83.4,22,NA,18.1,8.3,80.9
26.8,76.4,30.5,27.2,22,10.4,76.2
20.7,72.6,23,28,27.1,7.4,76.8
23.6,76.2,24.2,29.8,24.7,7.1,75.5
24.3,NA,NA,NA,20.2,3.9,76.6
17.5,75.7,22.5,24.7,20.5,5.9,77.8
14.5,71.1,14.6,18.8,14.2,4.1,80.9
23.3,74.7,19.9,21.4,19.9,6.3,77.8
20.1,79.2,25,32.5,25.3,8.2,75.8
21,75.5,29.9,26.2,21.9,7.8,77.5
30,78.7,28.1,27.2,15.4,6.3,78.1
20.9,74.9,25.2,24.4,19.3,7.7,77.5
NA,NA,22,NA,16.9,8.3,76.6
16.1,72.6,19.4,21.2,20.9,6,76.6
19.2,73.4,20,23.6,15.5,6.3,80.9
NA,NA,NA,NA,NA,NA,77.4
22.7,72.8,22.7,28.7,19.9,4.3,77.1
25.9,79.6,26.1,28,23.1,7,77.1
15.8,74.3,20.6,22,18.9,4.5,78.4
27.9,77.6,25,30.6,29.4,7.5,74.8
20,78.6,21,25.3,22.5,5.3,78.3
19.9,NA,12.2,NA,10.7,4.4,77.2
23.6,76,24.6,27.7,21.8,8,77.4
15.5,71.8,19.6,20.2,16.3,5,79.5
NA,NA,NA,NA,NA,NA,76.2
21.2,73.8,26,21.3,19.4,7,78.1
15.6,75.4,22.6,21.7,26.8,7.7,76.5
23.7,75.4,25.1,27.1,19.8,8.8,74.8
16.7,77.6,28.7,31.2,23.3,7.7,76.5
20.9,70.7,19.7,23.8,18.7,6.6,77.3
22.6,64.6,24.6,18.4,14.3,7.5,73.9
28.4,74.5,26.4,30.4,28,8.4,72.3
28.5,NA,24.2,NA,21.4,7.5,78.2
12.6,NA,NA,NA,16.9,6.3,76.9
23.8,84.3,24.5,24.5,24.7,7.7,75.8
24.3,NA,26.1,NA,23.4,7.1,78.3
23.1,79.5,21.1,24.8,22.6,3.2,77
NA,NA,NA,NA,NA,NA,77.3
25.6,NA,21.9,NA,23,8.5,76.3
27.8,78.3,28,21.7,27.1,6.3,77.5
17.8,NA,25.3,NA,18.8,8.1,78.8
24.4,69.6,25.1,27.6,19,8.6,77.4
23.7,79.4,19.3,26.4,29.4,7.4,76.1
24.7,79.5,23.3,NA,24.2,9.1,76.7
28.5,76.6,25.4,29.7,25.5,9,77
33.4,77.9,22.5,NA,25.4,7.1,76.5
25.5,75.5,27.5,32.5,23.2,10,77.6
19,NA,30.6,NA,24.4,4.3,76.4
23.5,75,23.3,24.6,21.3,6.9,78.2
25.3,80.3,23.2,27.5,28.4,10.6,76.1
30.6,80.6,26.8,NA,23.8,7.6,77.3
21.3,71.9,18.4,24.7,18.2,6.3,77.7
19.8,75.3,25.2,27,19.1,7.4,77.9
22.7,73.4,26.5,24.3,21.8,9.1,78.2
26.9,73.8,26.7,28.3,21.8,10.6,76.9
26.5,81.9,26.1,28,24.7,7.8,77
NA,NA,NA,NA,NA,NA,76.9
27.9,71.7,24.1,NA,28.2,11.4,75.9
15.5,66.6,21.8,21.5,17.9,5.4,79.4
17.8,74,15.4,24.9,18.9,6,78.7
20.9,81.8,24.9,NA,21.3,5.9,76.3
25.6,78.5,26.6,35.4,21.4,9.6,77.5
23.9,NA,18.9,NA,21.8,6.2,76.7
20.7,83.1,25.5,NA,24.5,7.9,77.9
24.4,80.5,25.8,33.2,26,5.8,76.8
23.1,73.6,20.9,26.9,23.8,8.4,76.7
36.9,66.8,20,20.4,18.1,7,80
21.1,73.8,22,26.3,22.5,7,78.8
22,77.4,26.9,29.6,24.8,7.4,76.7
24.5,76.1,24.5,28.5,24,7,77
21.9,NA,26,NA,31.1,9,77.4
24.8,78.4,21.5,25,29.4,7.9,76.9
